TRDTYPE,DISAGMOT,COUNTRY,VALUE,SHIPWT,FREIGHT_CHARGES,DF,MONTH,YEAR,MEXSTATE,CONTCODE
50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,32681.0,50000.0,50000.0,0.0,0.0
1.34638,4.83046,1519.2678,3538898.82846,1695499.4244,48657.2098,1.322603347510786,1.47662,2020.0,0.0,0.0
0.4758207894874646,1.4289846144520126,383.2274561521172,35858431.07424913,45359929.26679077,940604.2200477757,0.4674795339511799,0.4994580710803414,0.0,0.0,0.0
1.0,1.0,1220.0,7.0,0.0,0.0,1.0,1.0,2020.0,0.0,0.0
1.0,5.0,1220.0,17940.0,0.0,0.0,1.0,1.0,2020.0,0.0,0.0
1.0,5.0,1220.0,88006.5,0.0,305.0,1.0,1.0,2020.0,0.0,0.0
2.0,5.0,2010.0,550026.0,6078.0,3387.0,2.0,2.0,2020.0,0.0,0.0
2.0,9.0,2010.0,2225225045.0,6391164649.0,136233660.0,2.0,2.0,2020.0,0.0,0.0
2480.0,2480.0,2480.0,2480.0,2480.0,2480.0,0.0,2480.0,2480.0,0.0,2480.0
2.0,4.732258064516129,1374.8145161290322,6490590.837903226,4123665.811290323,95563.37580645162,0.0,2.0,2020.0,0.0,0.1403225806451613
0.0,1.3883366169107068,313.6488497008792,67450879.20068632,36565165.93540287,852747.6944850715,0.0,0.0,0.0,0.0,0.3473914443757175
2.0,1.0,1220.0,314.0,0.0,0.0,0.0,2.0,2020.0,0.0,0.0
2.0,5.0,1220.0,21970.25,943.75,300.0,0.0,2.0,2020.0,0.0,0.0
2.0,5.0,1220.0,122167.5,34332.5,1500.0,0.0,2.0,2020.0,0.0,0.0
2.0,5.0,1220.0,892694.75,356924.5,9420.75,0.0,2.0,2020.0,0.0,0.0
2.0,9.0,2010.0,2354774119.0,875726000.0,21430393.0,0.0,2.0,2020.0,0.0,1.0
